,Unnamed: 0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
189,189,21,23.0,21,3,0,100.0,3,bowled,2,Australia,Bengaluru,28-Sep-17
190,190,39,73.0,55,2,0,70.9,3,caught,2,Australia,Nagpur,01-Oct-17
191,191,121,203.0,125,9,2,96.8,3,caught,1,New Zealand,Wankhede,22-Oct-17
192,192,29,40.0,29,3,1,100.0,3,caught,2,New Zealand,Pune,25-Oct-17
193,193,113,166.0,106,9,1,106.6,3,caught,1,New Zealand,Kanpur,29-Oct-17
194,194,112,164.0,119,10,0,94.11,3,caught,2,South Africa,Durban,01-Feb-18
195,195,46,64.0,50,4,1,92.0,3,not out,2,South Africa,Centurion,04-Feb-18
196,196,160,220.0,159,12,2,100.62,3,not out,1,South Africa,Cape Town,07-Feb-18
197,197,75,119.0,83,7,1,90.36,3,caught,1,South Africa,Johannesburg,10-Feb-18
198,198,36,76.0,54,2,0,66.66,3,run out,1,South Africa,Gqeberha,13-Feb-18
199,199,129,123.0,96,19,2,134.37,3,not out,2,South Africa,Centurion,16-Feb-18
200,200,75,72.88796680497926,82,7,0,91.46,3,stumped,2,England,Nottingham,12-Jul-18
201,201,45,72.88796680497926,56,2,0,80.35,3,lbw,2,England,Lord's,14-Jul-18
202,202,71,98.0,72,8,0,98.61,3,bowled,1,England,Leeds,17-Jul-18
203,203,140,72.88796680497926,107,21,2,130.84,3,stumped,2,West Indies,Guwahati,21-Oct-18
204,204,157,217.0,129,13,4,121.7,3,not out,1,West Indies,Visakhapatnam,24-Oct-18
205,205,107,72.88796680497926,119,10,1,89.91,3,bowled,2,West Indies,Pune,27-Oct-18
206,206,16,72.88796680497926,17,2,0,94.11,3,caught,1,West Indies,Brabourne,29-Oct-18
207,207,33,57.0,29,6,0,113.79,3,not out,2,West Indies,Thiruvananthapuram,01-Nov-18
208,208,3,10.0,8,0,0,37.5,3,caught,2,Australia,Sydney,12-Jan-19
209,209,104,150.0,112,5,2,92.85,3,caught,2,Australia,Adelaide,15-Jan-19
210,210,46,72.88796680497926,62,3,0,74.19,3,caught,2,Australia,Melbourne,18-Jan-19
211,211,45,59.0,59,3,0,76.27,3,caught,2,New Zealand,Napier,23-Jan-19
212,212,43,59.0,45,5,0,95.55,3,caught,1,New Zealand,Mount Maunganui,26-Jan-19
213,213,60,94.0,74,6,1,81.08,3,caught,2,New Zealand,Mount Maunganui,28-Jan-19
214,214,44,72.88796680497926,45,6,1,97.77,3,lbw,2,Australia,Hyderabad (Deccan),02-Mar-19
215,215,116,72.88796680497926,120,10,0,96.66,3,caught,1,Australia,Nagpur,05-Mar-19
216,216,123,72.88796680497926,95,16,1,129.47,3,bowled,2,Australia,Ranchi,08-Mar-19
217,217,7,72.88796680497926,6,1,0,116.66,4,caught,1,Australia,Mohali,10-Mar-19
218,218,20,72.88796680497926,22,2,0,90.9,3,caught,2,Australia,Delhi,13-Mar-19
219,219,18,44.0,34,1,0,52.94,3,caught,2,South Africa,Southampton,05-Jun-19
220,220,82,128.0,77,4,2,106.49,3,caught,1,Australia,The Oval,09-Jun-19
221,221,77,105.0,65,7,0,118.46,3,caught,1,Pakistan,Manchester,16-Jun-19
222,222,67,105.0,63,5,0,106.34,3,caught,1,Afghanistan,Southampton,22-Jun-19
223,223,72,146.0,82,8,0,87.8,3,caught,1,West Indies,Manchester,27-Jun-19
224,224,66,103.0,76,7,0,86.84,3,caught,2,England,Birmingham,30-Jun-19
225,225,26,45.0,27,3,0,96.29,3,caught,1,Bangladesh,Birmingham,02-Jul-19
226,226,34,61.0,41,3,0,82.92,3,not out,2,Sri Lanka,Leeds,06-Jul-19
227,227,1,8.0,6,0,0,16.66,3,lbw,2,New Zealand,Manchester,09-Jul-19
228,228,120,179.0,125,14,1,96.0,3,caught,1,West Indies,Port of Spain,11-Aug-19
229,229,114,127.0,99,14,0,115.15,3,not out,2,West Indies,Port of Spain,14-Aug-19
